Name,Asx D/L,Glx D/L,Ser D/L,Arg D/L,Ala D/L,Tyr D/L,Val D/L,Phe D/L,Leu D/L,Ile D/L,[Ser]/[Ala],Bleached,Type,Time,Genus,Species,materials
8070bF,0.71,0.62,0.69,1.01,0.84,0.00,0.44,0.90,0.79,0.72,0.28951651,b,F,,patella ,.Sp,shell
8053bH*,0.59,0.39,0.34,0.71,0.66,0.00,0.32,0.13,0.50,0.38,0.156328912,b,H,*,patella ,.Sp,shell
8054bH*,0.59,0.40,0.33,0.72,0.68,0.00,0.34,0.62,0.51,0.39,0.197213385,b,H,*,patella ,.Sp,shell
8055bH*,0.63,0.54,0.08,1.02,0.63,0.00,0.47,0.71,0.61,0.42,0.132218452,b,H,*,patella ,.Sp,shell
8056bH*,0.63,0.58,0.16,1.37,0.79,0.00,0.50,0.81,0.65,0.56,0.100314351,b,H,*,patella ,.Sp,shell
8057bH*,0.55,0.33,0.43,0.61,0.58,0.00,0.26,0.52,0.45,0.36,0.186831172,b,H,*,patella ,.Sp,shell
8058bH*,0.55,0.33,0.41,0.63,0.61,0.00,0.27,0.53,0.42,0.31,0.1852567,b,H,*,patella ,.Sp,shell
8059bH*,0.46,0.35,0.27,1.85,0.56,0.00,0.16,0.43,0.27,0.33,0.185808051,b,H,*,patella ,.Sp,shell
8060bH*,0.45,0.36,0.28,1.62,0.56,0.00,0.15,0.45,0.25,0.30,0.190488978,b,H,*,patella ,.Sp,shell
8061bH*,0.54,0.57,0.24,2.16,0.79,0.00,0.46,0.83,0.69,0.56,0.047513404,b,H,*,patella ,.Sp,shell
8062bH*,0.54,0.59,0.30,1.68,0.82,0.00,0.49,0.83,0.69,0.56,0.043854991,b,H,*,patella ,.Sp,shell
8065bH*,0.55,0.30,0.42,0.70,0.58,0.00,0.22,0.48,0.43,0.26,0.237480532,b,H,*,patella ,.Sp,shell
8066bH*,0.56,0.29,0.41,0.69,0.57,0.00,0.21,0.48,0.42,0.26,0.240963962,b,H,*,patella ,.Sp,shell
8067bH*,0.53,0.26,0.50,0.55,0.51,0.00,0.23,0.43,0.35,0.26,0.273889961,b,H,*,patella ,.Sp,shell
8068bH*,0.55,0.27,0.46,0.55,0.51,0.00,0.23,0.42,0.33,0.25,0.288805725,b,H,*,patella ,.Sp,shell
8069bH*,0.57,0.30,0.44,0.64,0.59,0.00,0.24,0.49,0.41,0.28,0.23543822,b,H,*,patella ,.Sp,shell
8070bH*,0.57,0.30,0.48,0.63,0.60,0.00,0.24,0.49,0.41,0.29,0.212345805,b,H,*,patella ,.Sp,shell
8071bH*,0.71,0.49,0.43,1.86,0.82,0.00,0.32,0.50,0.53,0.33,0.081491574,b,H,*,patella,.Sp,shell
8072bH*,0.72,0.49,0.43,1.92,0.82,0.00,0.31,0.51,0.53,0.34,0.076753513,b,H,*,patella,.Sp,shell
8071bF,0.89,0.61,0.76,1.82,0.90,0.00,0.43,0.64,0.85,0.51,0.041615699,b,F,,patella,.Sp,shell
8072bF,0.88,0.61,0.77,1.96,0.89,0.00,0.43,0.61,0.85,0.51,0.043294615,b,F,,patella,.Sp,shell
6858bH*,0.63,0.52,0.21,7.37,0.79,0.00,0.72,0.82,0.70,0.93,0.21723576,b,H,*,patella ,.Sp,shell
6858bH*,0.63,0.51,0.20,9.95,0.77,0.00,0.71,0.43,0.77,0.89,0.215640336,b,H,*,patella ,.Sp,shell
6860bH*,0.58,0.53,0.21,8.30,0.78,0.00,0.64,0.76,0.64,0.83,0.267859835,b,H,*,patella ,.Sp,shell
6860bH*,0.58,0.51,0.19,13.87,0.78,0.00,0.63,0.57,0.64,0.80,0.253405134,b,H,*,patella ,.Sp,shell
6862bH*,0.52,0.38,0.21,3.78,0.60,0.00,0.45,0.65,0.49,0.62,0.361741747,b,H,*,patella ,.Sp,shell
6862bH*,0.52,0.38,0.21,4.94,0.58,0.00,0.46,0.59,0.49,0.66,0.379979796,b,H,*,patella ,.Sp,shell
6866bH*,0.55,0.40,0.17,3.82,0.59,0.00,0.52,0.71,0.53,0.71,0.363854849,b,H,*,patella ,.Sp,shell
6866bH*,0.55,0.39,0.19,5.10,0.61,0.00,0.50,0.65,0.51,0.69,0.360135632,b,H,*,patella ,.Sp,shell
6868bH*,0.55,0.40,0.21,4.09,0.64,0.00,0.58,0.71,0.52,0.67,0.376483219,b,H,*,patella ,.Sp,shell
6868bH*,0.56,0.40,0.21,4.92,0.64,0.00,0.60,0.64,0.54,0.71,0.347401125,b,H,*,patella ,.Sp,shell
6870bH*,0.52,0.31,0.18,2.60,0.49,0.00,0.43,0.64,0.46,0.59,0.444877256,b,H,*,patella ,.Sp,shell
6870bH*,0.53,0.31,0.17,3.66,0.48,0.00,0.46,0.60,0.40,0.59,0.464829122,b,H,*,patella ,.Sp,shell
6872bH*,0.49,0.31,0.20,6.95,0.47,0.00,0.46,0.60,0.42,0.45,0.389556442,b,H,*,patella,.Sp,shell
6857bH*,0.58,0.54,0.15,15.66,0.80,#DIV/0!,0.80,0.59,0.78,0.77,0.24218908,b,H,*,patella ,.Sp,shell
6861bH*,0.57,0.51,0.18,5.39,0.78,0.00,0.60,0.66,0.65,0.80,0.261319679,b,H,*,patella,.Sp,shell
6857bF,0.75,0.75,0.49,18.29,0.88,0.00,0.90,0.74,0.97,0.97,0.053973293,b,F,,patella ,.Sp,shell
6861bF,0.75,0.71,0.61,5.98,0.88,0.00,0.77,0.63,1.09,0.96,0.059500435,b,F,,patella,.Sp,shell
7264bF,0.65,0.44,0.82,1.42,0.71,0.24,0.54,0.73,0.72,0.69,0.436265801,b,F,,Patella,vulgata,shell
7264bF,0.65,0.44,0.83,1.54,0.71,0.23,0.51,0.75,0.72,0.70,0.440843119,b,F,,Patella,vulgata,shell
7265bF,0.70,0.37,0.77,1.41,0.56,0.15,0.29,0.56,0.49,0.29,0.553244765,b,F,,Patella,vulgata,shell
7265bF,0.70,0.38,0.75,1.56,0.56,0.20,0.26,0.64,0.50,0.28,0.550055914,b,F,,Patella,vulgata,shell
7266bF,0.66,0.35,0.85,1.10,0.61,0.00,0.31,0.57,0.54,0.39,0.630528883,b,F,,Patella,vulgata,shell
7264bH*,0.29,0.20,0.48,0.61,0.41,0.14,0.23,0.31,0.27,0.25,0.524858309,b,H,*,Patella,vulgata,shell
7266bH*,0.41,0.20,0.54,0.47,0.39,0.11,0.18,0.26,0.23,0.32,0.637074121,b,H,*,Patella,vulgata,shell
8145bF,0.73,0.55,0.70,1.22,0.84,#DIV/0!,0.62,0.87,0.88,0.81,0.132837582,b,F,,Patella,ferruginea,shell 
